Investor Pool,Records,Shares,Percentage
"Local
institutions",864,"861,129,104",34.12%
Local individuals,"23,394","585,584,460",23.21%
"Foreign
investors",118,"1,076,773,252",42.67%
Grand total,"24,376","2,523,486,816",100.00%
