No.,Names,Roles,Shares
1,"Amb. Dr. Francis
K. Muthaura",Chairman,-
2,Dr. Benson I. Wairegi,"Group Managing
Director","100,298,400"
3,Jimnah M. Mbaru,Director,"199,300,100"
4,Peter K. Munga,Director,"75,000,000"
5,Dr. James N. Mwangi,Director,"75,000,000"
6,Nduva Muli,Director,-
7,Agnes N. Odhiambo,Director,-
8,Richard K. Langat,Director,-
9,Samson K. Kamau,Director,-
