Column,RISK CATEGORY,RISK PREFERENCE
1,Insurance Risk,"We have a Moderate to High Preference for Insurance Risk. We recognize that
our core business involves managing and underwriting various insurance risks.
Our insurance risk preference statement reflects our commitment to a balanced
approach in managing these risks, considering the need to achieve our financial
objectives and provide value to our policyholders and shareholders."
2,Strategic Risk,"Our approach reflects a balanced perspective on strategic execution risks as we
drive transformative business initiatives. We maintain a moderate preference for
such risks, recognizing that sustainable growth and competitive advantage often
hinge on bold, calculated moves."
3,Credit Risk,"In alignment with our overall risk appetite, we maintain a low preference for credit
risk pertaining to our debtor portfolio. Recognizing that credit risk is inherent in
the normal course of business, our approach is distinguished by a disciplined,
proactive framework that minimizes exposure while supporting sustainable growth."
4,Market Risk,"We have a Moderate Preference for market risk and are willing to accept
fluctuations in the value of our investments and portfolios within predefined limits.
Our goal is to balance the pursuit of attractive returns with the preservation of
capital, recognizing that a degree of market risk is inherent in achieving
our objectives."
5,Liquidity Risk,"We have a Low Preference for liquidity, and we are committed to minimizing the
risk of being unable to meet our obligations as they come due. We prioritize the
ability to withstand unexpected market disruptions and funding stress scenarios
with minimal impact on our operations."
6,Country Risk,"We have a Moderate Preference for country-specific risks and are willing to
operate in regions where opportunities align with our strategic objectives. Our goal
is to strike a balance between taking advantage of growth prospects and
effectively managing associated risks."
7,Operational Risk,"We prioritize the protection of our Group, stakeholders, and reputation by main-
taining a Low Preference for operational risks. Our commitment to operational
resilience, safety, and the preservation of our brand is of paramount importance."
8,Fraud Risk,"We have a Zero Preference for internal fraud, emphasizing the need to prevent
and mitigate fraudulent activities by employees and insiders. Simultaneously, we
acknowledge that managing external fraud risks is a necessary part of conducting
business in the External environment and we have a low to tolerance for External
Fraud."
9,Compliance Risk,"We have a Low Preference for compliance risk, and our primary objective is to op-
erate within the bounds of all laws, regulations, and internal policies that govern
our operations."
10,Conduct Risk,"We have a Low Preference for conduct risk, and our primary objective is to ensure
that our employees’ behaviour consistently aligns with the highest ethical and pro-
fessional standards. We place the highest importance on ethical behaviour, integ-
rity, and the treatment of our customers, clients, and stakeholders with the utmost
respect and fairness."
11,Reputational,"We have a Low Preference for reputational risk, and our primary objective is to
safeguard and enhance our reputation through ethical conduct and responsible
business practices.
Our reputational risk preference reflects our commitment to maintaining a low
tolerance for risks that could harm our reputation and the trust and confidence of
our stakeholders."
