"2024
Shs’000","2023
Shs’000"
"25,848","(247,467)"
"(28,175)",-
"(2,327)","(247,467)"
"(4,015)","(3,997)"
"(4,160)","(1,366)"
"(960,052)","(208,500)"
"1,771,496",-
"23,837","23,530"
-,"102,689"
"(4,621)","(114,781)"
"(186,800)","(135,538)"
"182,297","132,276"
"46,065","60,405"
"475,843","261,198"
"250,726","159,281"
"1,590,616","275,197"
-,"66,500"
"(1,000,000)",-
"(211,320)","(118,961)"
"(93,124)","(21,336)"
"(13,731)","(10,450)"
"(38,279)","(53,392)"
"(1,356,454)","(137,639)"
"231,835","(109,909)"
"61,551","171,460"
"293,386","61,551"
