Members,Status,Attendance
Ms. Caroline J. Kigen (Chairperson)*,Independent Non-Executive Director,1/2
Mr. Mike Laiser*,Independent Non-Executive Director,2/2
Mr. Mohamed S. Karama*,Independent Non-Executive Director,2/2
Mrs. Agnes N. Odhiambo**,Independent Non-Executive Director,2/3
Mr. W. Andrew Hollas**,Independent Non-Executive Director,3/3
Mr. Samson K. Kamau**,Independent Non-Executive Director,3/3
