Column,Column,"2,480,204","(1,009,458)",Column
,,678,"(13,520)",
,,"(1,121,998)","(1,471,299)",
,,"(268,287)","(281,044)",
,,"(62,543)","20,024",
tal items that will not be reclass,ified to profit or loss,"(1,452,150)","(1,745,839)",
"ms that may be subsequently reclassified to profit or loss
are of other comprehensive loss from the associate accounted for using
e equity method 26
rrency translation losses 26",,,,
,,"(6,495)",,"(4,879)"
,,"(236,886)",,"(423,523)"
tal items that may be subsequently reclassified to profit or loss,,"(243,381)",,"(428,402)"
tal other comprehensive loss,,"(1,695,531)",,"(2,174,241)"
tal other comprehensive income/ (loss) for the year,,"784,673",,"(3,183,699)"
"ributable to:
wners of the parent
on-controlling interests 27 (iii)",,,,
,,"741,245","(3,137,751)",
,,"43,428","(45,948)",
