"Computer
software
costs","Internally
generated
software
development
costs",Total,"Computer
software
costs","Internally
generated
software
development
costs",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"3,770,230","61,750","3,831,980","191,527",-,"191,527"
"53,702","47,866","101,568",-,-,-
"3,108","(3,108)",-,-,-,-
"(87,877)",-,"(87,877)",-,-,-
"(9,805)",-,"(9,805)",-,-,-
"(42,030)","1,533","(40,497)",-,-,-
"3,687,328","108,041","3,795,369","191,527",-,"191,527"
"3,687,328","108,041","3,795,369","191,527",-,"191,527"
"171,328","(125,598)","45,730","1,554",-,"1,554"
"(24,584)",(875),"(25,459)",-,-,-
"20,499","24,631","45,130",-,183,183
"9,818","(9,818)",-,-,-,-
"(8,609)","3,619","(4,990)",-,-,-
"3,855,780",-,"3,855,780","193,081",183,"193,264"
"1,957,899",-,"1,957,899","121,864",-,"121,864"
"427,898",-,"427,898","26,389",-,"26,389"
"(6,593)",-,"(6,593)",-,-,-
"2,379,204",-,"2,379,204","148,253",-,"148,253"
"481,723",-,"481,723","26,467",-,"26,467"
"3,907",-,"3,907",-,-,-
"7,665",-,"7,665",-,-,-
"2,872,499",-,"2,872,499","174,720",-,"174,720"
"1,308,124","108,041","1,416,165","43,274",-,"43,274"
"983,281",-,"983,281","18,361",183,"18,544"
