Column,"Holding
Company",Board sub committees,Column,Column,Column,Column,Column,Column,"Total
meetings
held","Total at-
tended","%age atten-
dance"
,,Audit,"Risk &
Comp-
liance","Invest-
ment &
Strategy","Nominations &
Governance","Property
Committee","ICT Steering
Committee","Comp-
ensation
& HR",,,
Meetings held,4,3,3,3,1,7,3,3,27,N/A,N/A
"J. Nicholas Ashford-
Hodges",4,N/A,N/A,3,1,N/A,N/A,3,11,11,100%
Peter K. Munga,4,2,N/A,2,1,5,N/A,2,21,16,76%
Jimnah M. Mbaru,2,N/A,N/A,-,-,5,N/A,N/A,15,7,47%
Benson I. Wairegi,4,N/A,N/A,3,N/A,7,3,N/A,17,17,100%
"Dr. James N.
Mwangi",2,1,N/A,-,N/A,N/A,1,N/A,10,4,40%
"Saleem R.
Beebeejaun",3,3,2,-,N/A,N/A,N/A,N/A,9,7,78%
Bocar E. Dia,4,N/A,2,N/A,N/A,N/A,N/A,3,10,9,90%
Nduva Muli,4,3,3,N/A,N/A,7,3,N/A,20,20,100%
Agnes N. Odhiambo,3,2,N/A,N/A,N/A,N/A,N/A,N/A,6,5,83%
