Assets,Note,"External credit
rating","Internal
Credit
rating","12-month or
lifetime ECL",2023,2022
,,,,,Shs’000,Shs’000
"Government securities held at
amortised cost",32(i),B+,-,12 months,"67,523,216","56,093,764"
"Corporate bonds held at amortised
cost",32(ii),B,-,12 months,"1,050,269","1,043,035"
Government securities at fair value,31(i),B+,-,12 months,"46,000,195","42,962,242"
Unit trusts,31(iii),-,Group 2,12 months,"10,725,301","7,323,519"
Mortgage loans and receivables,33,-,Group 2,12 months,"1,129,886","1,150,370"
"Other receivables (excluding
prepayments)",38,-,Group 2,"Mix of both
life time & 12
months","2,841,388","2,371,159"
Deposits with financial institutions,39(i),-,Group 2,12 months,"9,564,794","6,395,013"
"Cash and bank balances (excluding
cash in hand)",39(i),-,Group 2,12 months,"1,201,909","1,734,568"
Total,,,,,"140,036,958","119,073,670"
