Name,Date of contract,Entity in the Group,Position,Notice period
"Benson Irungu
Wairegi",20 December 2006,"British-American Investments
Company (Kenya) Limited and
British-American Insurance
Company (Kenya) Limited","Group Managing
Director","6 months or payment of
equivalent remuneration"
"Dominic Mwangi
Kiarie",31 October 2007,"British-American Asset
Managers Limited",Managing Director,"3 months prior notice or
payment of equivalent
remuneration"
"Stephen Odhiambo
Wandera",31 January 2007,"British-American Insurance
Company (Kenya) Limited",Executive Director,"3 months prior notice or
payment of equivalent
remuneration"
