Column,2021,2020
Notes,Shs’000,Shs’000
,"(636,000)
(25,021)
(13,538)",
47,,"(997,360)"
23 (ii),,"(37,005)"
,,"(70,523)"
,"(674,559)","(1,104,888)"
,"(13,060)
-
-
-
381,118
(3,565)
17,248
(1,019,288)
995,013
15,511
186,558",
21,,"(26,167)"
22,,"(1,167)"
27 (ii),,"(1,540,000)"
27 (ii),,"66,624"
,,-
29 (iii),,"(5,232)"
,,-
30 (ii),,"(1,291,800)"
,,"590,707"
6,,"711,000"
,,"382,458"
,"559,535","(1,113,577)"
,"-
-
(525,000)
(334,411)
(53,971)",
,,"(630,872)"
14 (i),,"4,675,000"
14 (i),,"(1,876,274)"
14 (i),,"(150,682)"
23 (i),,"(35,835)"
,"(913,382)","1,981,337"
,"(1,028,406)","(237,128)"
,"1,221,025","1,458,153"
38 (i),"192,619","1,221,025"
