"58,789","48,343"
‑,"81,841"
‑,"3,712"
"11,547","3,582"
"14,183","14,183"
"338,870","339,767"
"214,006","185,462"
"45,472","35,179"
"9,348","4,964"
"23,690","4,115"
"6,237",‑
"8,932",‑
"731,074","721,148"
"(339,844)","(329,125)"
"391,230","392,023"
"329,125","329,289"
"10,719",(164)
"339,844","329,125"
