Column,Group,Column
,2024,2023
,Shs’000,Shs’000
"Salaries and other short-term employment benefits
Retirement benefits costs
- defined contribution scheme
- Other benefits","420,063","360,877"
,-,
,"42,061","38,017"
,"24,274","26,778"
Total,"486,398","425,672"
