"Profit before income tax
Adjustments for:
Depreciation of property and equipment (Note 22)
Depreciation of right of use asset (Note 24(i)
Amortisation of intangible assets (Note 23)
Net income/(loss) from investment properties
(Note 7)
Interest computed using effective interest method
(Note 8(i))
Interest and dividend income (Note 8(ii))
Impact of Net Monetary gain/loss
Provision write back
Net fair value (loss)/gain on financial assets at fair
value through profit or loss - designated (Note 10)
Foreign exchange gains and losses, net (Note 13)
Share of profit of the associate
Finance costs (Note 16)
Gain on disposal of property and equipment
Gain on IFRS 16 lease remeasurement
Provision for expected credit losses on cash and
cash equivalents (Note 39(i))
Net realised gains/(loss) on financial assets at fair
value through profit or loss
Changes in:
• Insurance contract assets
• Reinsurance contract assets
• Retirement benefit asset
• Receivable from related parties
• Other receivables
• Insurance contract liabilities
• Reinsurance contract liabilities
• Payable to related party
• Other payables
• Restricted cash","7,330,995","4,819,495","(451,830)","(525,957)"
,"164,126","178,990","28,964","36,236"
,"159,293","172,295","27,141","26,738"
,"274,679","337,805","5,441","8,858"
,"(800,993)","(644,449)","(152,653)","(28,956)"
,"(10,761,320)","(9,387,574)","(232,440)","(160,996)"
,"(8,647,045)","(6,228,379)","(475,843)","(271,591)"
,"30,237",-,-,-
,-,-,-,"(70,000)"
,"(9,858,060)","4,682,791","73,652",-
,"(944,227)","(348,711)","13,682",665
,"(420,967)","(213,315)","(98,276)","(75,341)"
,"283,592","247,135","260,835","168,168"
,"9,071","5,792",(228),-
,-,-,-,"(13,949)"
,"2,829","11,821",280,133
,-,-,"77,112",(257)
,-,"2,198",-,-
,"32,311","(619,554)",-,-
,"91,975","(29,310)",-,-
,-,-,"(69,795)","(200,754)"
,"830,747","(439,388)","43,739","141,978"
,"29,735,592","15,511,861",-,-
,"29,403","429,182",-,-
,-,-,"1,182,902","110,175"
,"489,807","1,089,645","(206,835)","607,383"
,"(889,572)","(152,277)",-,-
Cash generated from/(used in) operations,"7,142,473","9,426,053","25,848","(247,467)"
