"Competitive and Fair
Remuneration",Career Advancement,Fringe Benefits,Equal Opportunity
"Britam’s remuneration
philosophy is to link reward
to performance. Senior
management who develop and
execute strategy have a higher
proportion of variable pay.","Comprehensive programmes
identify and nurture scarce
human capital. This includes:
• Performance and talent
management
• Leadership and
management
development
programmes
• Internal and external
training
• Performance objectives
linked to strategy
• International mobility
programs","Value-added benefits
recognise practical and day
to-day employee needs and
over time achieve healthier
and more productive
employees. These include
• Staff loans at very
competitive interest rates
• Medical cover
• Pension benefit
• Group personal accident
cover
• Group life cover, leave
• Leave (Annual, Sick,
Maternity, Paternity,
Compassionate and
Study Leave)
• Performance based
bonuses
• Flexi-time work schedule","Non-discrimination is at the
centre of our culture. We
believe that being widely
representative creates a
competitive advantage
across our communities and
markets."
How our employees benefit,,,
"Rewards that reflects
performance.","Skills and Career
Development.","Comprehensive Value Added
Benefits.","A non-discriminatory work
environment that promotes
respect and dignity."
How Britam benefits,,,
"• A highly motivated and appropriately skilled work force that is able to implement strategy and provide competitive returns
on shareholder capital.
• A loyal and productive work force which actively promotes the Britam brand.
• An efficient deployment of human capital, with a diverse and inclusive working culture that maximises opportunities.
• A fair balance between performance delivery and cost of employment.
• Reduced employee turnover.
• Lower risks of fraud and poor productivity.",,,
