2022,2021,2022,2021
Shs’000,Shs’000,Shs’000,Shs’000
,,-,-
"(142,955)","77,760",,-
-,-,"80,748","221,864"
"(781,260)","(2,610,538)",-,-
"328,455","(264,265)",-,-
"770,983","100,598",-,-
"(63,092)","(26,180)",-,-
"(6,876,287)","2,698,885","(6,096,046)","2,050,040"
"(82,649)","43,064",,
"34,999","(265,742)","(73,320)","(173,286)"
-,-,"110,932","20,239"
"3,647,655","6,460,596",-,-
"1,324,015","991,648",-,-
"5,071,218","4,095,899",-,-
"(32,194)","49,142",-,-
"121,063","(92,129)",-,-
"3,032,656","1,606,709","(6,768,214)","(631,572)"
