Column,2019,Column,Column,2018,Column,Column
Short term insurance business,Gross,Reinsurance,Net,Gross,Rein-surance,Nett
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Notified claims,"3,416,259","(1,388,940)","2,027,319","4,456,821","(2,258,247)","2,198,574"
Incurred but not reported,"2,710,640","(441,327)","2,269,313","2,471,489","(385,849)","2,085,640"
Total at beginning of year,"6,126,899","(1,830,267)","4,296,632","6,928,310","(2,644,096)","4,284,214"
Cash paid for claims settled in year,"(6,344,787)","993,952","(5,350,835)","(7,285,610)","1,910,486","(5,375,124)"
"Increase in liabilities:
- arising from current year claims","6,836,799","(1,049,317)","5,787,482","4,796,750","(1,160,719)","3,636,031"
- arising from prior year claims,"208,901","(226,464)","(17,563)","1,687,449","64,062","1,751,511"
Total at end of year,"6,827,812","(2,112,096)","4,715,716","6,126,899","(1,830,267)","4,296,632"
Notified claims,"3,796,365","(1,535,274)","2,261,091","3,416,259","(1,388,940)","2,027,319"
Incurred but not reported,"3,031,447","(576,822)","2,454,625","2,710,640","(441,327)","2,269,313"
Total at the end of year,"6,827,812","(2,112,096)","4,715,716","6,126,899","1,830,267)","4,296,632"
