Column,"154,592
(121)
3,803
-
-",Column,"95,839
-
55,786
-
-",Column
"327,545",,"22,488",,"52,754"
-,,-,,-
-,,-,,"31,970"
-,,"(5,632)",,-
"32,755",,-,,-
"360,300","158,274","16,856","151,625","84,724"
,"107,785
9,854",,"66,086
13,219",
"4,799",,"10,268",,"35,857"
"(4,799)",,"3,277",,"10,132"
,,"(5,632)",,
-,"117,639","7,913","79,305","45,989"
"322,746","46,807","12,220","29,753","16,897"
"360,300","40,635","8,943","72,320","38,735"
