Column,RISK CATEGORY,RISK PREFERENCE
12,Sustainability Risk,"We have a Low Preference for sustainability-related risks and are dedicated to
responsible and sustainable business practices that protect our environment,
society, and stakeholders."
13,"Technology &
Information
Security Risk-","We maintain a low tolerance for technology and information security risks,
driven by our unwavering commitment to safeguarding our systems, data, and
stakeholders. Our approach is rooted in a comprehensive, proactive framework
that emphasizes continuous monitoring, stringent controls, and rapid response
to any potential threats."
14,Model Risk,"We have a Low Preference for model-related risks and are dedicated to
responsible and rigorous model development, validation, and use to minimize
the potential for errors or inaccuracies."
