Assets,Note,"External
credit rating","Internal
Credit rating","12-month or
lifetime ECL",2019,2018
,,,,,Shs’000,Shs’000
"Government securities at fair value
through profit or loss",29(iv),B+,-,12 months,"42,758,237","24,798,519"
"Government securities held at amortised
cost",30(i),B+,-,12 months,"15,057,530","15,212,824"
"Receivables arising out of reinsurance
arrangements",33(i),AA-,-,Life time,"502,722","703,320"
Corporate bonds at amortised cost,30(ii),-,Group 2,12 months,"622,109","944,194"
Unit trusts,29(iii),-,Group 2,12 months,"3,396,349","4,730,625"
Investments in property funds,27(ii),-,Group 2,12 months,"652,291","575,021"
Mortgage loans and receivables,31,-,Group 2,12 months,"1,171,693","1,209,394"
Loans and receivables to policy holders,32,-,Group 2,Nil,"1,511,273","1,301,118"
"Receivables out of direct insurance
arrangements",33(iii),-,Group 2,Life time,"1,689,488","2,317,194"
"Reinsurers’ share of insurance contract
liabilities",34,-,Group 2,Life time,"3,742,258","3,145,058"
Other receivables (excluding prepayments),37,-,Group 2,"Mix of both life
time & 12","1,523,850","1,733,694"
Deposits with financial institutions,38(i),-,Group 2,12 months,"6,810,651","3,216,913"
"Cash and bank balances (excluding cash
in hand)",38(i),-,Group 2,12 months,"885,606","2,691,928"
Total,,,,,"80,324,057","62,579,802"
