"tion and amortisation
nts in associates
s to non-current assets","359,191","129,195
-
458,604","32,966","64
-
105",Column,"32,192","553,6
6,308,5
835,6"
,"3,790,117",,-,,,"2,518,386",
,"224,501",,"67,236",,,"85,159",
,"52,902,022","16,344,802
11,671,129","1,055,048","1,
1,","605,154
280,108","11,735,584","83,642,6
65,765,0"
,"44,159,041",,"358,636",,,"8,296,098",
,,,"Asset Corporate
Property To
Managment and other
Shs’000 Shs’000 Shs’000 Shs’0",,,,
,"216,521","100,927
-
310,116","10,362","25
-
-",,"9,665",
,"4,154,582",,-,,,"2,666,745",
,"774,753",,"194,769",,,"58,544",
,"45,628,362","17,141,149
13,375,765","842,053","300,995
295,970",,"13,719,793",
,"39,619,195",,"292,513",,,"6,374,461",
