Column,Net claims development,Column,Column,Column,Column,Total
,2019,2020,2021,2022,2023,
,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000
"Estimate of ultimate claim costs (net of
reinsurance,
undiscounted)
At end of accident year
1 year later
2 years later
3 years later
4 years later","10,411,098
10,643,745
10,667,576
10,667,993
10,726,927","12,739,273
13,036,420
13,049,578
13,054,418","18,649,281
18,954,759
18,865,601","19,688,104
20,041,806","18,984,869",
,,,,,,"80,472,625"
,,,,,,"62,676,730"
,,,,,,"42,582,755"
,,,,,,"23,722,411"
,,,,,,"10,726,927"
"Net cumulative claims liabilities -
accident years from 2019 to 2023
Add: Incurred but not Reported
Add: Liability in respect of prior years
Effect of discounting
Effect of the risk adjustment margin for
non-financial risk
Less: Cumulative payments to date","10,726,927
262
451,305
13,982
37,055
(10,657,149)","13,054,418
279
-
641
1,699
(13,030,792)","18,865,601
1,040
-
(1,766)
(4,679)
(18,932,473)","20,041,806
-
-
1,356
3,594
(19,991,233)","18,984,869
330,192
-
5,904
15,646
(19,094,948)","81,673,621"
,,,,,,"331,773"
,,,,,,"451,305"
,,,,,,"20,117"
,,,,,,"53,315"
,,,,,,"(81,706,595)"
Net LIC for the contracts originated,"572,382","26,245","(72,277)","55,523","241,663","823,536"
