Column,As at 31 December,Column
,2017,2016
Notes,Shs’000,Shs’000
,"216,260",
,"7,706,782",
,"13,579,959",
,"332,832",
,"756,911",
,"22,592,744",
,"77,266",
,"22,670,010",
,"1,503,409",
,"2,093,587",
,"5,021,902",
,"1,558,433",
,"450,398",
,"221,167",
,"5,912,091",
,"9,271,750",
,"5,372,983",
,"30,611,376",
,"17,418,542",
,"1,178,307",
,"1,076,466",
,"645,487",
,"2,161,466",
,"3,726,914",
,"464,148",
,"1,644,946",
,"221,139",
,"47,191",
,"8,423,155",
,"99,024,857",
,"3,424,054",
,"23,896,282",
,"28,017,662",
,"4,025,507",
,"4,572,067",
,"752,226",
,-,
,"7,963,470",
,"3,551,853",
,"151,726",
,"76,354,847",
,"22,670,010",
