Column,Column,2018 (Shs ‘000),2017 (Shs ‘000)
Total Income,"We have three main sources of revenue: fees and
commissions, income from the investments and – by far
the largest source of income – premium payments from our
policyholders.","26,393,611","27,836,674"
Total Expenses,"From this income, we subtract costs. These include claims
and benefits paid to our policyholders. We also have our own
operating expenses and the commissions we pay to brokers
and other intermediaries.","28,399,825","27,023,837"
Profit (Loss) for the Year,"Before we get to profit (loss) for the year we also have to
account for any profit or loss from our associates. Our profit
(loss) for the year also includes an estimate of our corporate
income tax for the year.","(2,210,285)","527,474"
