Income statement,"Dec’ 2016
Shs Million","Dec’ 2015
Shs Million","Growth
%"
"Gross earned premium
Less Reinsurance premium ceded","20,292
(2,898)","19,606
(3,231)","3%
(10%)"
"Net earned premium
Fund management fees
Financial assets fair value changes
Investment income
Commissions ea0r.n6ed
Other Income","17,394
929
(2,412)
5,224
719
507","16,375
718
(2,626)
4,340
735
589","6%
29%
(8%)
20%
(2%)
(14%)"
"Kenya 2.6%
Total Income","22,360","20,131",11%
"Net insurance benefits & claims
1.0%
Interest payments/increase in unit value
1.0%
Commission payable
Operating expenses
Finance costs
Share of profitT oafn azsasnoicai a1t.e0s%","5,001
1,743
3,547
7,095
1,177
442","10,614
496
3,292
6,717
802
595","(53%)
252%
8%
6%
47%
(26%)"
"Profit before tax
Income tax","4,239
(1,759)","(1,195)
185","455%
(1,048%)"
"Profit after tax
Other comprehensive income
Total comprehensive Income","2,480
(1,696)
785","(1,010)
(2,174)
(3,184)","346%
22%
125%"
