Group,Column,Column,2021,Column,2020,Column
,Notes,"Fair value
Level","Carrying
amounts at
amortised",Fair value,"Carrying
amounts at
amortised",Fair value
,,,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
,,"Level 2
Level 2
Level 2
Level 2
Level 2
Level 2",,"7,655,477
988,944
1,135,847
2,296,455
2,200,042
11,367",,
,30,,"8,051,262",,"10,501,818",
,30,,"988,944",,-,
,31,,"1,135,847",,"1,156,003",
,32,,"2,296,455",,"1,875,314",
,37,,"2,200,042",,"1,957,847",
,38 (i),,"11,367",,-,
,,,"14,683,917","14,288,132","15,490,982",
,,"Level 2
Level 2
Level 2
Level 2",,"2,650,000
1,500,304
77,521
11,697,635",,
,14 (i),,"2,650,000",,"3,175,000",
,14 (i),,"1,500,304",,"1,500,304",
,14 (i),,"77,521",,"683,859",
,46,,"11,697,635",,"8,978,247",
,,,"15,925,460","15,925,460","14,337,410",
