Below are the risk management policies that guide our operations.,Column
• Enterprise Risk Management Framework,"• Environmental, Social and Governance (ESG) Policy"
• Risk Appetite Framework,• Insider Trading Policy
• Financial Risk Policy,• Whistleblowing Policy
• Insurance Risk Policy,• Code of Business Conduct Policy
• Credit Risk Policy,• Cybersecurity Policy
• Market Risk Policy,• Model Risk Policy
• Liquidity Risk Policy,• Business Continuity Management Policy
• Operational Risk Policy,• Third Party Risk Policy
• Fraud Risk Management Policy,• Compliance Policy & Charter
• Anti‑Bribery and Anti‑Corruption Policy,• Data Protection Policy
"• Anti‑Money Laundering (AML), Counter Financing of
Terrorism (CFT) and Counter Proliferation Financing
(CPF) Policy",
