Column,2010,2009,2008,2007,2006
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
At 1 January,"2,754,617","1,840,841","1,264,923","942,347","630,377"
Pension fund deposits received,"854,542","901,688","595,390","339,774","242,542"
Surrender and annuities paid,"(737,039)","(183,842)","(109,194)","(124,202)","(73,744)"
Interest payable to policyholders,"396,857","195,930","89,722","107,004","148,542"
"Transfer to insurance contract
liabilities",,-,-,-,"(5,370)"
At 31 December,"3,268,977","2,754,617","1,840,841","1,264,923","942,347"
Interest declared,15%,9%,6%,10.5%,18%
