As at 31 December,Column,Column,Column
,,2021,2020
,Notes,Shs’000,Shs’000
,,"252,344
13,237,451
16,394,912
(10,943,574)",
,16,,"252,344"
,16,,"13,237,451"
,17,,"13,352,432"
,18,,"(9,891,877)"
,,"18,941,133","16,950,350"
,26 (iii),"142,384","116,482"
,,"19,083,517","17,066,832"
,,"1,256,407
1,416,165
319,716
1,366,027
1,416,635
505,441
160,406
16,597,058
6,716,098
89,699,147
9,040,206
1,135,847
2,296,455
1,036,605
1,846,973
7,551,390
664,686
2,200,042
517,344
185,203
7,499,485",
,21,,"902,296"
,22,,"1,874,081"
,23 (i),,"566,560"
,24 (i),,"1,481,603"
,26 (i),,"1,416,635"
,36,,"536,534"
,48,,"134,226"
,27 (i),,"16,443,490"
,28,,"4,940,442"
,29,,"76,777,040"
,30,,"10,501,818"
,31,,"1,156,003"
,32,,"1,875,314"
,33 (i),,"772,340"
,33 (iii),,"1,924,733"
,34,,"4,940,852"
,35,,"707,750"
,37,,"1,957,847"
,25 (b),,"461,833"
,38 (ii),,"93,074"
,38 (i),,"7,498,000"
,,"153,427,336","136,962,471"
,,"3,267,126
48,945,243
52,832,047
4,276,660
6,962,963
441,126
1,659,096
4,227,825
11,697,635
34,098",
,36,,"2,337,628"
,39,,"42,514,867"
,43,,"48,736,148"
,44,,"3,285,010"
,45,,"6,862,364"
,23 (ii),,"690,003"
,33 (ii),,"1,609,954"
,14 (i),,"4,854,923"
,46,,"8,978,247"
,25 (b),,"26,495"
,,"134,343,819","119,895,639"
,,"19,083,517","17,066,832"
