"Board
Member",Position,"Annual
Retainer","Sitting
Allowance","Other
Allowances","Salaries
and Other
Benefits",Total
"Mr. Kuria
Muchiru",Chairman,"1,000,000","7,512,500","3,855,000",‑,"12,367,500"
"Dr. Peter
Munga",NED,"1,000,000","1,950,000",‑‑,‑,"2,950,000"
"Mr. Jimnah M.
Mbaru",NED,"1,000,000","1,950,000",,‑,"2,950,000"
"Ms. Judy
Rugasira
Kyanda",INED,"1,000,000","1,412,500",‑,‑,"2,412,500"
"AfricInvest
III SPV 1
Represented
by Mr. George
Odo",NED,"1,000,000","2,837,500",‑,‑,"3,837,500"
"Mr. Edouard
Schmid",NED,"1,000,000","1,087,500",‑,‑,"2,087,500"
"Mr. Julius
Mbaya",INED,"1,000,000","3,525,000",‑,‑,"4,525,000"
"Mrs.
Celestine
Munda",INED,"1,000,000","3,375,000",‑‑,‑,"4,375,000"
"Mr. Tom
Gitogo",ED,‑,‑,‑,"110,347,259","110,347,259"
"Mr. Lotfi
Baccouche",INED,"1,000,000","1,962,500",‑,‑,"2,962,500"
"Ms. Susan
Abisola",NED,"1,000,000","1,862,500",‑,‑,"2,862,500"
"Ms. Barbara
Chesire (Co-
opted CXI
Committee
Member)",NED,‑,"250,000",‑,‑,"250,000"
Total,,"10,000,000","27,725,000","3,855,000","110,347,259","151,927,259"
