Shs'000,"Liabilities for Remaining
Coverage",Column,"Liabilities for Incurred
claims",Column,"Total
Shs'000"
,"Excluding
loss
component","Loss
component","Estimates
of present
value of
future cash
flows","Risk
adjustment
for non-
financial
risk",
Opening reinsurance contract assets,"(187,575)","88,683","5,357,425","386,429","5,644,962"
Opening reinsurance contract liabilities,"(426,863)","27,603","235,428","7,863","(155,969)"
Net opening balance,"(614,438)","116,286","5,592,853","394,292","5,488,993"
Allocation of the premiums paid:,,,,,
Full retrospective approach,"(5,027,441)",-,-,-,"(5,027,441)"
Total Allocation of premiums paid,"(5,027,441)",-,-,-,"(5,027,441)"
"Amounts recovered from reinsurance
Recoveries of incurred claims and other insurance service expense
Changes related to past service (changes related to incurred
claims component)
Changes that relate to future service:
Recoveries of losses on onerous underlying contracts on initial
recognition
Recoveries and reversals of recoveries of losses on onerous
underlying contracts - subsequent measurement
Effect of changes in Non-performance risk of Reinsurers",,,,,
,-,"108,380","1,758,421","112,397","1,979,198"
,-,-,"737,321","(61,439)","675,882"
,-,"(182,352)",-,-,"(182,352)"
,-,"362,570",-,-,"362,570"
,-,"(544,922)",-,-,"(544,922)"
,-,-,"(23,565)",-,"(23,565)"
Total amounts recovered from reinsurance,-,"(73,972)","2,472,177","50,958","2,449,163"
Total net expenses from reinsurance,"(5,027,441)","(73,972)","2,472,177","50,958","(2,578,278)"
"Insurance finance income or expense
The effect of and changes in time of time value of money and
financial risk
Foreign exchange differences on changes in the carrying amount
of groups of insurance contracts",,,,,
,-,-,"320,266","23,742","344,008"
,-,-,"59,466","2,923","62,389"
Total insurance finance income or expense,-,-,"379,732","26,665","406,397"
Total changes in the statement of profit or loss,"(5,027,441)","(73,972)","2,851,909","77,623","(2,171,881)"
