Term/Acronym,Definition
ESG,"Environmental, Social, and Governance – a framework for assessing sustainability performance."
GRI Standards,Global Reporting Initiative Standards – a set of guidelines for sustainability reporting.
UNGC,"United Nations Global Compact – a voluntary initiative to align businesses with universal sustainability
principles."
SDGs,"Sustainable Development Goals – 17 global goals set by the UN to address economic, social, and
environmental challenges."
TNFD,Taskforce on Nature-related Financial Disclosures – a framework for reporting nature-related risks.
NDSI,"Nairobi Declaration on Sustainable Insurance – a commitment to promote sustainable insurance
practices."
WEPs,Women Empowerment Principles – a set of principles for promoting gender equality in the workplace.
KPI,"Key Performance Indicator – a measurable value that demonstrates how effectively an organization
is achieving its objectives."
COP,"Communication on Progress – a report submitted by UNGC participants to demonstrate their com-
mitment to sustainability."
Microinsurance,Insurance products designed for low-income individuals or underserved communities.
Fintech,Financial technology – innovative technologies that improve financial services.
Carbon Emissions,"Greenhouse gases released into the atmosphere, contributing to climate change."
Biodiversity,The variety of plant and animal life in a particular habitat or ecosystem.
Supply Chain,The network of organizations involved in producing and delivering a product or service.
