2018,2019,2020,2021,2022,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"5,226,351","5,144,119","5,764,885","8,271,814","6,934,120","31,341,289"
"5,484,337","6,119,531","7,385,801","10,387,042",-,"29,376,711"
"6,029,084","6,645,217","7,487,037",-,-,"20,161,338"
"6,271,624","6,694,545",-,-,-,"12,966,169"
"6,263,985",-,-,-,-,"6,263,985"
"6,263,985","6,694,545","7,487,037","10,387,042","6,934,120","37,766,729"
"87,876","157,048","237,145","351,012","2,335,458","3,168,539"
"1,521,602",-,-,-,-,"1,521,602"
"(6,035,676)","(5,908,276)","(6,072,219)","(7,240,224)","(4,575,383)","(29,831,778)"
"1,837,787","943,317","1,651,963","3,497,830","4,694,195","12,625,092"
2017,2018,2019,2020,2021,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"3,256,274","5,210,356","5,120,495","5,801,649","8,629,513","28,018,287"
"4,780,500","5,479,595","6,112,971","7,464,488",-,"23,837,554"
"4,821,138","6,039,564","6,643,557",-,-,"17,504,259"
"4,827,762","6,283,165",-,-,-,"11,110,927"
"5,128,231",-,-,-,-,"5,128,231"
"5,128,231","6,283,165",,"7,464,488","8,629,513","34,148,954"
"579,567","158,565","6,643,557","344,964","1,969,196","3,246,138"
"1,090,745",-,"193,846",-,-,"1,090,745"
"(4,552,068)","(5,584,389)","5,633,130","(5,595,157)","(5,543,218)","(26,907,962)"
"2,246,475","857,341","1,204,273","2,214,295","5,055,491","11,577,875"
