At 31 December 2020,Column,"At amortised
cost","At fair value
through profit
or loss","At fair value
through other
comprehensive
income",Total
,Notes,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
,,"-
-
10,501,818
-
-
1,957,847
-
1,156,003
1,875,314
772,340
1,924,733
93,074
6,166,469
1,465,571",,"4,940,442
-
-
-
-
-
-
-
-
-
-
-
-
-",
,"28, 29",,"8,106,120",,"13,046,562"
,29,,"10,298",,"10,298"
,"29, 30",,"64,901,370",,"75,403,188"
,30,,-,,-
,29 (iii),,"3,759,252",,"3,759,252"
,37,,-,,"1,957,847"
,38 (i),,-,,-
,31,,-,,"1,156,003"
,32,,-,,"1,875,314"
,33 (i),,-,,"772,340"
,33 (iii),,-,,"1,924,733"
,38 (ii),,-,,"93,074"
,38 (i),,-,,"6,166,469"
,38 (i),,-,,"1,465,571"
,,"25,913,169","76,777,040","4,940,442","107,630,651"
,,"48,736,148
-
4,854,923
1,609,954
8,978,247",,"-
-
-
-
-",
,43,,-,,"48,736,148"
,44,,"3,285,010",,"3,285,010"
,14 (i),,-,,"4,854,923"
,33 (ii),,-,,"1,609,954"
,46,,-,,"8,978,247"
,,"64,179,272","3,285,010",-,"67,464,282"
,,"-
-
182,189
507,955
1,202,183
23,308",,"3,251,752
-
-
-
-
-",
,"28, 29",,"2,829,838",,"6,081,590"
,27 (ii),,"2,228,791",,"2,228,791"
,37,,-,,"182,189"
,51 (i),,-,,"507,955"
,38 (i),,-,,"1,202,183"
,38 (i),,-,,"23,308"
,,"1,915,635","5,058,629","3,251,752","10,226,016"
,,"3,775,923
68,811
5,428,657",,"-
-
-",
,14 (i),,-,,"3,775,923"
,51 (i),,-,,"68,811"
,46,,-,,"5,428,657"
,,"9,273,391",-,-,"9,273,391"
