"FCF as
at 31
December","CSM
as at 31
December",Total,"Impact
on FCF","Impact
on CSM","Total
increase
(decrease)
in
insurance
contract
liabilities","Remaining
CSM","Impact
on profit
before
income
tax","Impact
on
equity"
Shs'000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"96,732,301
(729,259)","6,936,622
-",,,,,,,
,,"103,668,923",,,,,,
,,"(729,259)",,,,,,
"96,003,042","6,936,622","102,939,664",,,,,,
"97,418,251
(827,319)","6,613,918
-",,"685,950
(98,060)","(322,704)
-",,"6,613,918
-","(272,215)
-","(190,551)
-"
,,"104,032,169",,,"363,246",,,
,,"(827,319)",,,"(98,060)",,,
"96,590,932","6,613,918","103,204,850","587,890","(322,704)","265,186","6,613,918","(272,215)","(190,551)"
"96,756,861
(729,259)","7,022,778
-",,"24,560
-","86,156
-",,"7,022,778
-","(117,746)
-","(82,422)
-"
,,"103,779,639",,,"110,716",,,
,,"(729,259)",,,-,,,
"96,027,602","7,022,778","103,050,380","24,560","86,156","110,716","7,022,778","(117,746)","(82,422)"
"96,735,658
(729,259)","6,827,863
-",,"3,357
-","(108,759)
-",,"6,827,863
-","98,373
-","68,861
-"
,,"103,563,521",,,"(105,402)",,,
,,"(729,259)",,,-,,,
"96,006,399","6,827,863","102,834,262","3,357","(108,759)","(105,402)","6,827,863","98,373","68,861"
"97,249,405
(729,259)","6,689,060
-",,"517,104
-","(247,562)
-",,"6,689,060
-","(276,570)
-","(193,599)
-"
,,"103,938,465",,,"269,542",,,
,,"(729,259)",,,-,,,
"96,520,146","6,689,060","103,209,206","517,104","(247,562)","269,542","6,689,060","(276,570)","(193,599)"
"101,593,843
(732,621)","6,493,447
-",,"4,861,543
(3,362)","(443,175)
-",,"6,493,447
-","(408,632)
-","(286,042)
-"
,,"108,087,290",,,"4,418,368",,,
,,"(732,621)",,,"(3,362)",,,
"100,861,222","6,493,447","107,354,669","4,858,181","(443,175)","4,415,006","6,493,447","(408,632)","(286,042)"
