LRC,Column,"LIC
(Shs’000)","Total
(Shs’000)"
"Excluding loss
component
(Shs’000)","Loss
component
(Shs’000)",,
"16,121,419","590,722","304,094","17,016,235"
"16,121,419","590,722","304,094","17,016,235"
"(652,057)
(61,510)
(850,281)
(84,366)
1,724","-
-
-
-","-
-
-
-","(652,057)"
,,,"(61,510)"
,,,"(850,281)"
,,,"(84,366)"
,,,"1,724"
"(1,646,490)",-,-,"(1,646,490)"
"-
84,366
-
-
-","-
-
-
14,775
(129,249)","464,728
-
(89,699)
-
-",
,,,"464,728"
,,,"84,366"
,,,"(89,699)"
,,,"14,775"
,,,"(129,249)"
"84,366","(114,474)","375,029","344,921"
"(1,562,124)","(114,474)","375,029","(1,301,569)"
"5,350,461","41,843","285,691","5,677,995"
"3,834,826","(72,631)","660,720","4,422,915"
"(2,551,742)
7,206,235
-
(33,215)
4,621,278","-
-
-
-
-","2,551,742
-
(3,257,034)
-
(705,292)",-
,,,"7,206,235"
,,,"(3,257,034)"
,,,"(33,215)"
,,,"3,915,986"
-,"(53,469)","53,469",-
"24,577,523","464,622","312,991","25,355,136"
