2022,Column,Column,Column
"Present value of
future cashflows","Risk adjustment for
non-financial risk","Contracts service
margin",Total
"15,417,729","541,378","4,380,648","20,339,755"
"15,417,729","541,378","4,380,648","20,339,755"
-,-,"(806,679)","(806,679)"
-,"(249,767)",-,"(249,767)"
"(1,807,390)",-,-,"(1,807,390)"
"(1,807,390)","(249,767)","(806,679)","(2,863,836)"
"(24,778)","12,801","131,941","119,964"
"67,511","(3,671)",-,"63,840"
"(1,010,500)","191,203","937,730","118,433"
"(967,767)","200,333","1,069,671","302,237"
"149,691","7,488",-,"157,179"
"(2,625,466)","(41,946)","262,992","(2,404,420)"
"812,163","52,312","592,128","1,456,603"
"(1,813,303)","10,366","855,120","(947,817)"
"9,770,196",-,-,"9,770,196"
"(5,804,361)",-,-,"(5,804,361)"
"3,965,835",-,-,"3,965,835"
"17,570,261","551,744","5,235,768","23,357,773"
