Group,Column,Column,Company,Column,Column
"Computer
software costs","Internally
generated
software
development
costs",Total,"Computer
software
costs","Internally
generated
software
development
costs",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"55,728
(181,483)
122,718
3,037",,"173,598
-
16,762
-",,
"3,170,315",,"3,226,043",,-,
"200,234",,"18,751",,-,
"225,706",,"348,424",,-,
"17,424",,"20,461",,-,
"3,613,679",-,"3,613,679","190,360",-,
"3,613,679","-
(11,646)
85,557
(13,426)
-
1,265","3,613,679","190,360
-
1,167
-
-
-",-,
"72,361",,"60,715",,-,
"51,080",,"136,637",,-,
-,,"(13,426)",,-,
"(1,463)",,"(1,463)",,,
"34,573",,"35,838",,-,
"3,770,230","61,750","3,831,980","191,527",-,
,"3,660
-
(3,660)",,"69,079
26,107
-",,
"1,100,199",,"1,103,859",,-,
"409,169",,"409,169",,-,
"4,391",,731,,-,
"1,513,759",-,"1,513,759","95,186",-,
"433,847","-
-","433,847","26,678
-",-,
"10,293",,"10,293",,-,
"1,957,899",-,"1,957,899","121,864",-,
"1,812,331","61,750","1,874,081","69,663",-,
