No.,Names,Role,Shares,% Shareholding
1,J. Nicholas Ashford-Hodges,Chairman,-,-
2,Benson I. Wairegi,CEO,"100,298,400",5.30
3,Jimnah M. Mbaru,Director,"219,300,000",11.60
4,Peter K. Munga,Director,"75,000,000",3.97
5,Dr. James N. Mwangi,Director,"75,000,000",3.97
6,Saleem R. Beebeejaun (Alternate E.M. Swadeck Taher ),Director,-,-
7,Nduva Muli,Director,-,-
8,Bocar E. Dia,Director,-,-
9,Agnes N. Odhiambo,Director,-,-
