Shs’000,"Liabilities for Remaining
Coverage",Column,"Liabilities for
Incurred claims",Column,"Total
Shs’000"
,"Excluding
loss
component","Loss
component","Estimates of
present
value of
future cash
flows","Risk
adjustment
for non-
financial risk",
Net opening balance,"419,951",-,-,-,"419,951"
"Insurance Revenue
CSM recognized for services
provided
Change in risk adjustment for
non-financial risk
Expected insurance service
expenses incurred
Recovery of insurance
acquisition cash flows","(87,812)
(2,351)
(37,037)
(78,704)","-
-
-","-
-
-","-
-
-","(87,812)
(2,351)
(37,037)
(78,704)"
Total insurance revenue,"(205,904)",-,-,-,"(205,904)"
Insurance service expenses,,,,,
"Amortisation of insurance
acquisition cash flows","78,704",-,-,-,"78,704"
Insurance service expenses,"78,704",-,-,-,"78,704"
Insurance service result,"(127,200)",,,,"(127,200)"
"Insurance finance income or
expense
The effect of and changes in
time of time value of money
and financial risk","41,550",-,-,-,"41,550"
"Total amounts recognised in
the statement of profit or loss","(85,650)",-,-,-,"(85,650)"
Cash flows,,,,,
"Premiums received
Insurance acquisition
cashflows","(119,345)
53,705","-
-","-
-","-
-","(119,345)
53,705"
Total cash flows,"(65,640)",-,-,-,"(65,640)"
Net closing balance,"268,662",-,-,-,"268,662"
