Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Column
"(2,540,223)","(672,066)","(3,212,289)","7,991,854","85,271,314","90,050,879"
"40,845","286,678","327,523","2,649,027","(26,313,987)","(23,337,437)"
-,"(239,262)","(239,262)",-,,"(239,262)"
"(81,690)","(7,536)","(89,226)",-,-,"(89,226)"
"(2,581,068)","(632,186)","(3,213,254)","10,640,881","58,957,327","66,384,954"
"1,480,482","152,786","1,633,268","(3,684,634)","20,775,615","18,724,249"
-,"(325,015)","(325,015)",-,-,"(325,015)"
-,"19,443","19,443",-,-,"19,443"
"(1,100,586)","(784,972)","(1,885,558)","6,956,247","79,732,942","84,803,631"
