Standard,Years affected,Impact
"IAS 1 – Presentation of Financial
Statements",2006 to 2010,"Capital risk disclosures
Changes to the titles of financial statements
Presentation of owner and non-owner changes in equity in two
statements, a statement of comprehensive income and a statement of
changes in equity respectively, with no impact on earnings per share."
"IFRS 7 – Financial Instruments:
Disclosure",2006 to 2010,"New disclosures to improve the information about financial instruments.
Additional disclosure of qualitative and quantitative information about
exposure to risks arising from financial instruments, including specified
minimum disclosures about credit risk, liquidity risk and market risk,
including sensitivity analysis to market risk.
Enhanced disclosures about fair value measurement and liquidity risk. In
particular, the disclosure of fair value measurements by level of fair value
measurement hierarchy."
"IAS 24 – Related Party
Disclosures",2006 to 2010,The identification of related parties and some related party disclosures.
"IAS 39 – Financial Instruments:
Recognition and Measurement",2006 to 2010,Recognition of fair value gains on Financial instruments
"IFRS 2: Group Cash-Settled
Share-based Payment
Transactions",2006 to 2010,"The amendment clarifies the accounting for group cash-settled share-
based payment transactions."
"IAS 27 Consolidated and
Separate Financial Statements",2006 to 2010,"Effects of all transactions with non-controlling interests will be recorded
in equity if there is no change in control which will not result in goodwill
or gains and losses.
Any remaining interest in the entity when control is lost is to be re-
measured to fair value and a gain or loss recognised in profit or loss"
