Column,"6,000,000
1,780,000
996,064
205,000
355,544
2,438
404,424
-
(1,780,000)",Column
"6,000,000",,"6,000,000"
"205,000",,"205,000"
"996,064",,-
"2,774,000",,"2,774,000"
-,,-
"14,807",,"14,807"
"615,990",,-
"(6,000,000)",,"(6,000,000)"
"(1,819,000)",,"(1,819,000)"
"2,786,861","7,963,470","1,174,807"
,"780,000
231,627",
"1,037,400",,"1,037,400"
"29,050",,"29,050"
"1,066,450","1,011,627","1,066,450"
,"780,000
245,131
161,016",
"681,856",,"681,856"
"34,645",,"34,645"
"189,066",,
"905,567","1,186,147","716,501"
