"(1,056,816)","1,907,811","850,995","(65,003)","794,559","729,556"
"(1,400)",-,"(1,400)",(297),-,(297)
"(1,058,216)","1,907,811","849,595","(65,300)","794,559","729,259"
"(3,766,662)",-,"(3,766,662)","(4,304,529)",-,"(4,304,529)"
-,"2,435,730","2,435,730","(202,487)","2,567,244","2,364,757"
-,"357,979","357,979",-,"(87,152)","(87,152)"
-,-,-,"134,611",-,"134,611"
"(5,117)",-,"(5,117)","90,108",-,"90,108"
-,"(35,829)","(35,829)",-,"(7,197)","(7,197)"
"(3,771,779)","2,757,880","(1,013,899)","(4,282,297)","2,472,895","(1,809,402)"
261,"149,694","149,955",-,"104,912","104,912"
"(3,771,518)","2,907,574","(863,944)","(4,282,297)","2,577,807","(1,704,490)"
"(10,178)","10,178",-,-,-,-
"2,396,831",-,"2,396,831","3,259,104","(1,411,599)","1,847,505"
-,"(1,407,799)","(1,407,799)","30,275","(52,956)","(22,681)"
"2,396,831","(1,407,799)","989,032","3,289,379","(1,464,555)","1,824,824"
"(2,443,081)","3,417,764","974,683","(1,058,218)","1,907,811","849,593"
"(2,437,988)","3,417,764","979,776","(1,056,816)","1,907,811","850,995"
"(5,093)",-,"(5,093)","(1,400)",-,"(1,400)"
"(2,443,081)","3,417,764","974,683","(1,058,216)","1,907,811","849,595"
