At 31 December 2019,Column,"At amortised
cost","At fair value
through
profit or loss","At fair value
through other
comprehensive
income",Total
,,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
Financial assets,,,,,
Quoted ordinary shares,"28,29 (i)",-,"11,587,595","7,231,563","18,819,158"
Unquoted ordinary shares,29 (ii),-,"9,649",-,"9,649"
Government securities,"29 (iv),30 (i)","15,057,530","42,758,237",-,"57,815,766"
Corporate bonds,30 (ii),"622,109",-,-,"622,109"
Unit trusts,29 (iii),-,"3,396,349",-,"3,396,349"
Investment in property funds,27(ii),-,"652,291",-,"652,291"
Other receivables,37,"1,624,170",-,-,"1,624,170"
Investment in liquid funds,38(i),"34,688",-,-,"34,688"
Mortgage loans and receivables,31,"1,171,693",-,-,"1,171,693"
Loans and receivables to policyholders,32,"1,511,273",-,-,"1,511,273"
"Receivables arising out of reinsurance
arrangements",33(i),"502,722",-,-,"502,722"
"Receivables arising out of direct insurance
arrangements",33(iii),"1,689,488",-,-,"1,689,488"
Restricted cash,38(ii),"80,608",-,-,"80,608"
Deposits with financial institutions,38(i),"6,810,651",-,-,"6,810,651"
Cash and bank balances,38(i),"885,606",-,-,"885,606"
Total financial assets,,"29,990,538","58,404,121","7,231,563","95,626,222"
Financial liabilities,,,,,
Payable under deposit administration contracts,43,-,"42,515,955",-,"42,515,955"
Liabilities under investment contracts,44,-,"3,002,142",-,"3,002,142"
Borrowings,14,"2,352,716",-,-,"2,352,716"
Payables arising from reinsurance arrangements,33(ii),"1,319,214",-,-,"1,319,214"
Other payables,46,"2,886,175",-,-,"2,886,175"
Total financial liabilities,,"6,558,105","45,518,097",-,"52,076,202"
