2023,"Life
insurance
business","Non-life
insurance
business","Asset
Management",Property,Other,Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"Insurance revenue
Insurance service expenses
Net expenses from
reinsurance contracts held","13,828,180
(10,066,915)
(1,827,468)","25,703,806
(18,165,234)
(5,722,144)","-
-
-","-
-
-","-
-
-","39,531,986
(28,232,149)
(7,549,612)"
Insurance service result,"1,933,797","1,816,428",-,-,-,"3,750,225"
"Net income from
investment property
Interest and dividend
income
Net realised gains on
financial assets
Net unrealised fair value
gains on financial assets at
fair value through profit or
loss","657,407
12,923,886
27,436
(4,663,405)","11,373
2,325,455
13,988
(19,387)","5,666
30,464
-
-","482,491
56,640
(7,751)
-","28,956
432,587
257
-","1,185,893
15,769,032
33,930
(4,682,792)"
Net investment income,"8,945,324","2,331,429","36,130","531,380","461,800","12,306,063"
"Finance income/expenses
from insurance contracts
issued
Finance income/expenses
from reinsurance contracts
held","(8,044,908)
104,913","(1,094,797)
474,017","-
-","-
-","-
-","(9,139,705)
578,930"
"Net insurance finance
income/expenses","(7,939,995)","(620,780)",-,-,-,"(8,560,775)"
"Net insurance and
investment result","2,939,126","3,527,077","36,130","531,380","461,800","7,495,513"
"Fund management fees
Other income
Other expenses
Fund management
commission
Other finance costs","-
26,750
(708,548)
-
(20,351)","-
588,102
(802,792)
-
(65,012)","826,715
31,697
(702,472)
(199,528)
(22,939)","-
37,669
(31,668)
-
(9,924)","-
83,402
(978,332)
-
(168,168)","826,715
767,620
(3,223,812)
(199,528)
(286,394)"
"Reportable segment
(loss)/profit
Share of profit of associates","2,236,977
143,739","3,247,375
-","(30,397)
-","527,457
-","(601,298)
75,341","5,380,114
219,080"
"Segment (loss)/profit
before tax
Tax expense/(credit)","2,380,716
(714,215)","3,247,375
(784,845)","(30,397)
(28,340)","527,457
(1,039)","(525,957)
(11,937)","5,599,194
(1,540,376)"
"Segment (loss)/profit after
tax","1,666,501","2,462,530","(58,737)","526,418","(537,894)","4,058,818"
