Kcts,Means Kenya Cents and represents one hundredth of the Kenya Shilling;
Kshs,Kenya shillings or the currency of the Republic of Kenya;
Listing,Admission of the Shares to the official list of the Nairobi Stock Exchange;
Micro-insurance,"Insurance products and services targeted for low and low to medium income groups and SMEs
including those in the informal sector;"
MIMS,The Main Investment Market Segment of the NSE;
NAV,Net asset value;
NSE,The Nairobi Stock Exchange Limited;
Non-Executive Director,A member of the Board of Directors of the Company who is not an employee.
Offer,"The invitation constituted by this Prospectus to prospective investors to acquire the Offer Shares on
the terms and conditions set out in this Prospectus and the Share Application Form;"
Offer period,"The period when the Offer opens at 9.00 a.m. on 12th July 2011 and closes at 3.00 p.m. on 5th August
2011;"
"Offer Price or Subscription
Price",Kshs 9/= per Offer Share;
“Offer Shares” or “New Shares”,"650,000,000 new Shares of Kshs 9/= each, being offered for subscription by the Company to prospective
investors on the terms and conditions set out in this Prospectus and in the Application Form;"
PE,Price-Earnings Ratio
Par value,"Nominal value of the Company’s shares, which for the time being is Kshs 0.10/= per share;"
"Qualified Institutional Investor
or ‘QII’","Collective investment schemes approved by the CMA under the Capital Markets Act, Investment
Banks and Fund Managers licensed by the CMA under the Capital Markets Act (Cap .485A) , schemes
registered by the Retirement Benefits Authority under the Retirement Benefits Act (No 3 of 1997)
and Insurance companies licensed by the Insurance Regulatory Authority under the Insurance Act
(Cap 487 of the Laws of Kenya); Collective Investment Schemes and Pension funds registered under
the capital markets and retirement benefit laws of any East African Community Partner State; Institute
Nationale De Securite’ Social (INSS) of Burundi, National Social Security Fund (NSSF) of Rwanda,
National Social Security Fund (NSSF) of Uganda, National Social Security Fund (NSSF) of Tanzania
and Parastatals Pension Fund (PPF) of Tanzania;"
Receiving Bank,"Equity Bank Limited and Standard Chartered Bank Kenya Limited, both public companies incorporated
under the Companies Act (Cap. 486) of Kenya and both listed on the MIMS of the NSE and licensed
by Central Bank of Kenya as commercial banks;"
Registrar,"Image Registrars, the share registrar appointed in connection with the Initial Public Offer whose name
and address appears on page 10 (Corporate Information) of this Prospectus;"
RTGS,"Means “Real Time Gross Settlement”, a funds transfer system, where transfer of money or securities
takes place from one bank to another on a “real time” and on “gross” basis. Settlement in “real time”
means payment transaction is not subjected to any waiting period. The transactions are settled as soon
as they are processed. “Gross settlement” means the transaction is settled on one to one basis without
bunching or netting with any other transaction. Once processed, payments are final and irrevocable.
Any payments of Kshs 1 million and above can only be processed through RTGS;"
Shares,Ordinary shares of Kshs 0.10/= each in the issued share capital of Company;
Shareholders,The members holding shares in the Company;
"Standard Chartered Bank
Kenya Limited","Standard Chartered Bank Kenya Limited, a bank licensed by the Central Bank of Kenya, and which
is one of the two appointed Receiving Banks for the Offer. (Refer to Appendix 10.2 for details on the
branches); and"
Ushs,"Uganda Shilling, the lawful currency of the Republic of Uganda."
