"(248,132)","(6,768,214)"
"(248,132)","(6,768,214)"
"(3,997)","(8,021)"
"(1,366)",(183)
"(208,501)",-
-,"25,369"
-,"1,626"
"23,530","10,030"
-,"4,084,099"
-,"4,278,933"
-,"39,953"
-,"(305,366)"
"102,689","202,726"
"(114,781)",-
"60,405",-
"261,198","50,350"
"156,675","352,080"
"275,852","8,731,596"
"66,500",-
-,"1,500,000"
-,"(3,227,521)"
"(118,961)","(217,795)"
"(21,336)",-
"(10,450)","(17,249)"
"(53,392)","(21,976)"
"(137,639)","(1,984,541)"
"(109,919)","(21,159)"
"171,460","192,619"
"61,541","171,460"
