Column,Shareholder,Column,Pre-,Column,Pre-,Column,Post,Column,Post
,,,Transaction,,Transacti,,Transaction,,Transaction
,,,Number of,,on Share-,,Number of,,Share-
,,,shares,,holding %,,shares,,holding %
4. Benson I. Wairegi,,"100,298,400",,5.30%,,"100,298,400",,5.16%,
5. Kenya Commercial Bank Nominee A/C 915,,"91,404,035",,4.83%,,"91,404,035",,4.70%,
6. Peter K. Munga,,"75,000,000",,3.97%,,"75,000,000",,3.86%,
7. James N. Mwangi,,"75,000,000",,3.97%,,"75,000,000",,3.86%,
8. Co-op Bank Custody A/C 4012,,"60,000,000",,3.17%,,"60,000,000",,3.09%,
9. Filimbi Limited,,"58,453,600",,3.09%,,"58,453,600",,3.01%,
10. Royal Ngao Holdings Ltd,,-,,-,,"51,907,566",,2.67%,
11. Standard Chartered Nominees A/C 9389,,"16,901,500",,0.89%,,"16,901,500",,0.87%,
Others,,"337,590,315",,17.85%,,"337,590,315",,17.37%,
TOTAL,,"1,891,451,850",,100%,,"1,943,359,416",,100%,
