2006,Column,2008,Column,2010
Shs’000,,Shs’000,,Shs’000
,"249,607
297,986
302,040
315,286
-",,"469,746
589,677
-
-
-",
"236,213",,"376,624",,"744,229"
"263,638",,"453,452",,-
"265,699",,"448,578",,-
"279,251",,-,,-
"281,914",,-,,-
"281,914","315,286
-
-
216,852","448,578","589,677
-
-
418,096","744,229"
-,,-,,"197,502"
"21,484",,-,,-
"207,903",,"307,540",,"625,104"
"95,495","98,434","141,038","171,581","316,627"
