"Gross
revenue","Reinsurance
ceded",Net revenue,"Gross
revenue","Reinsurance
ceded",Net revenue
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"13,393,709","(11,786)","13,381,923","10,425,537","(13,968)","10,411,569"
"1,725,438","(693,639)","1,031,799","3,769,641","(945,244)","2,824,397"
"15,119,147","(705,425)","14,413,722","14,195,178","(959,212)","13,235,966"
"1,079,295","(925,695)","153,600","1,140,077","(998,459)","141,618"
"2,376,529","(1,779,489)","597,040","1,844,099","(1,262,230)","581,869"
"4,532,980","(226,361)","4,306,619","4,443,424","(303,979)","4,139,445"
"4,647,447","(880,610)","3,766,837","5,862,501","(1,148,629)","4,713,872"
"1,181,511","(7,722)","1,173,789","1,086,369","(7,934)","1,078,435"
"3,807,516","(2,552,395)","1,255,121","3,267,384","(2,142,952)","1,124,432"
"17,625,278","(6,372,272)","11,253,006","17,643,854","(5,864,183)","11,779,671"
"32,744,425","(7,077,697)","25,666,728","31,839,032","(6,823,395)","25,015,637"
"350,306",-,"350,306","268,375",-,"268,375"
"196,583",-,"196,583","364,378",-,"364,378"
"111,576",-,"111,576","52,105",-,"52,105"
"658,465",-,"658,465","684,858",-,"684,858"
"33,402,890","(7,077,697)","26,325,193","32,523,890","(6,823,395)","25,700,495"
