Asset Type (‘000),+10% Change on PD&LGD,-10% Change on PD&LGD
Cash and bank balances,"1,087",(2)
Deposits with financial institutions,"5,663",(965)
Loans and receivables from related parties,20,(11)
Other receivables,90,(49)
Total,"6,860","(1,027)"
