Shs’000,"Liabilities for Remaining
Coverage",Column,"Liabilities for
Incurred claims",Column,"Total
Shs’000"
,"Excluding
loss
component","Loss
component","Estimates of
present
value of
future cash
flows","Risk
adjustment
for non-
financial risk",
"Net opening balance
Insurance Revenue
CSM recognized for services
provided
Change in risk adjustment for
non-financial risk
Expected insurance service
expenses incurred
Recovery of insurance
acquisition cash flows","268,662
(63,151)
(1,506)
(23,735)
(73,840)","-
-
-
-
-","-
-
-
-
-","-
-
-
-
-","268,662
(63,151)
(1,506)
(23,735)
(73,840)"
Total insurance revenue,"(162,232)",-,-,-,"(162,232)"
Insurance service expenses,,,,,
"Amortisation of insurance
acquisition cash flows","73,840",-,-,-,"73,840"
Insurance service expenses,"73,840",-,-,-,"73,840"
Insurance service result,"(88,393)",-,-,-,"(88,393)"
"Insurance finance income or
expense",,,,,
"The effect of and changes in
time of time value of money
and financial risk","29,312",-,-,-,"29,312"
"Total amounts recognised in
the statement of profit or loss","(59,081)",-,-,-,"(59,081)"
Cash flows,,,,,
"Premiums received
Insurance acquisition
cashflows","(49,994)
22,497","-
-","-
-","-
-","(49,994)
22,497"
Total cash flows,"(27,497)",-,-,-,"(27,497)"
Net closing balance,"182,085",-,-,-,"182,085"
