Investor Pool,Records,Shares,Percentage
Foreign Investors,91,"1,075,770,578",42.63%
Local Institutions,672,"916,660,949",36.33%
Local Individuals,"23,810","531,055,289",20.94%
Grand Totals:,"24,573","2,523,486,816",100%
