As at 31 December,Column
2024,2023
Shs’000,Shs’000
"252,344","252,344"
"13,237,451","13,237,451"
"17,497,992","15,367,403"
"(1,791,172)","(3,408,334)"
"29,196,615","25,448,864"
"267,306","239,533"
"29,463,921","25,688,397"
"1,476,608","1,321,694"
"725,530","726,983"
"671,119","532,748"
"9,046,748","2,672,874"
"1,416,635","1,416,635"
"569,517","628,317"
"160,832","252,807"
"16,525,728","15,992,881"
"957,805","1,129,886"
"7,755,935","7,788,246"
"79,732,942","58,957,327"
"78,435,049","68,541,507"
"2,145,510","2,976,257"
"849,580","598,510"
"1,105,989","216,417"
"6,956,247","10,640,881"
"208,531,774","174,393,970"
"101,309","334,827"
"163,438,045","133,702,453"
"590,427","561,024"
"784,972","632,186"
"1,100,586","2,581,068"
"6,666,582","6,176,775"
"6,385,932","4,717,240"
"179,067,853","148,705,573"
"29,463,921","25,688,397"
