Maximum insured loss,Column,Column,Column,Column,Column,Column
Class of business,,Shs Millions,0 – 15,15 - 250,Over 250,Total
,,,Shs’000,Shs’000,Shs’000,Shs’000
"ecnarusnI
muS
derussa
–
ssenisub
efil
noN",,Gross,"119,515,910","373,498,076","3,338,472,779","3,831,486,765"
,,Net,"113,643,085","326,928,223","612,626,335","1,053,197,643"
"ssenisub
efiL",Life savings,Gross,"231,388,009","5,201,191",-,"236,589,200"
,,Net,"230,971,926","1,860,000",-,"232,831,926"
,Life risk,Gross,"296,913,329","39,408,556","215,732,929","552,054,814"
,,Net,"294,388,280","15,664,086","85,464,645","395,517,011"
,Investments with DPF,Gross,"11,829,127",-,-,"11,829,127"
,,Net,"11,875,557",-,-,"11,875,557"
Total,,Gross,"659,646,375","418,107,823","3,554,205,708","4,631,959,906"
,,Net,"650,878,848","344,452,309","698,090,980","1,693,422,137"
