As at 31 December,Column,Column,Column
,Notes,2021,2020
,,Shs’000,Shs’000
,,"252,344
13,237,451
4,135,049
(9,346,331)",
,16,,"252,344"
,16,,"13,237,451"
,17,,"2,726,791"
,18,,"(7,383,634)"
,,"8,278,513","8,832,952"
,,"156,733
43,274
67,178
549,910
6,017,008
2,088,895
4,278,933
4,124,052
988,944
286,090
355,475
40,652
192,619",
,21,,"180,552"
,22,,"69,663"
,23 (i),,"153,360"
,24 (i),,"596,437"
,26 (ii),,"6,023,460"
,27 (ii),,"2,228,791"
,28,,"3,251,752"
,29,,"3,882,098"
,30,,-
,51 (i),,"507,955"
,37,,"182,189"
,,,"17,495"
,38 (i),,"1,221,025"
,,"19,189,763","18,314,777"
,,"105,428
3,238,075
89,051
7,478,696",
,23 (ii),,"208,434"
,14 (i),,"3,775,923"
,51 (i),,"68,811"
,46,,"5,428,657"
,,"10,911,250","9,481,825"
,,"8,278,513","8,832,952"
