For the year ended 31 December,Column,Column,Column
,Notes,2021,2020
,,Shs’000,Shs’000
,,"(139,896)
206,379
(5,554)
1,318,424
(18,496)",
,5,,"139,085"
,6,,"1,008,413"
,7,,"(3,648)"
,8,,"(2,795,654)"
,10,,"(17,931)"
,,"1,360,857","(1,669,735)"
,,"2,841,234
367,162",
,13 (i),,"6,120,034"
,14 (i),,"345,437"
,,"3,208,396","6,465,471"
,,"(1,847,539)
(115,158)","(8,135,206)"
,24 (i),,"(331,302)"
,,"(1,962,697)
-","(8,466,508)"
,25 (a),,"(53,028)"
,,"(1,962,697)","(8,519,536)"
,,"1,314,099
94,200",
,28,,"(1,507,994)"
,,,-
,,"1,408,299","(1,507,994)"
,,(41),
,24 (i),,"14,981"
,,(41),"14,981"
,,"1,408,258","(1,493,013)"
,,"(554,439)","(10,012,549)"
