Column,Dec 2014,"Restated Dec
2013",Increase
ROE based on OCI 43% 34 % 9%,,,
Proposed Dividend 581.5m 473m 23%,,,
Dividend per share 30 cents 25 cents 20%,,,
"Shareholders funds 21,790M 14,752M 48%",,,
"Total Assets 72,978M 46,903M 56%",,,
"AUM 54,536M 36,295M 50%",,,
