No.,Names,Roles,Shares
1,Mr. Kuria Muchiru,Chairman,-
2,Mr. Jimnah M. Mbaru,Director,"130,000,000"
3,Dr. Peter K. Munga,Director,"75,000,000"
4,Mrs. Caroline J. Kigen,Director,-
5,Africinvest III SPV,Director,"442,779,881"
6,Mr. Edouard Schmid,Director,-
7,Ms. Josephine Ossiya,Director,-
8,Ms. Celestine Munda,Director,-
9,Mr. Julius Mbaya,Director,-
