"7,102,247",Column,"7,033,839",Column,Column,Column,"(59,724)",Column
"1,714,969",,"1,433,587",,,,"(226,074)",
"8,817,216","(349,790)","8,467,426",,"7,3","86,957","(285,798)","7,101,1"
,"(434,773)
(733,557)
(371,911)
(152,518)
(648,126)
-
(18,459)
(98,806)
(19,250)
(71,069)",,,"554,297
1,207,373
433,597
5,045,645
3,648,829
515,490
272,142
172,385
265,918
103,042",,,"137,5
511,2
136,9
4,791,0
2,618,4
476,0
260,3
73,5
217,2
50,0"
"533,504",,"98,731",,,,"(416,751)",
"1,150,694",,"417,137",,,,"(696,117)",
"488,637",,"116,726",,,,"(296,598)",
"4,193,030",,"4,040,512",,,,"(254,571)",
,,,,,,"(1,030,389)",
"3,644,883
609,187",,"2,996,757
609,187",,,,"(39,488)",
"271,627",,"253,168",,,,"(11,755)",
"191,791",,"92,985",,,,"(98,823)",
"267,252",,"248,002",,,,"(48,697)",
"124,023",,"52,954",,,,"(52,966)",
"11,474,628","(2,548,469)","8,926,159",,"12,218,718",,"(2,946,155)","9,272,5"
"20,291,844","(2,898,259)","17,393,585",,"19,605,675",,"(3,231,953)","16,373,7"
,,,,"220,405
258,824
239,308
-
-",,,"220,4
258,8
239,3"
"269,000","-
-
-
-
-","269,000",,,,-,
"183,684",,"183,684",,,,-,
"331,653",,"331,653",,,,-,
"18,291",,,"18,291",,,-,
"126,606",,,"126,606",,,-,
"929,234",-,,"929,234","718,537",,-,"718,5"
"21,221,078","(2,898,259)",,"18,322,819","20,324,212",,"(3,231,953)",
