Column,Net claims development,Column,Column,Column,Column,Column
,2020,2021,2022,2023,2024,Total
"Estimate of ultimate claim costs (net of
reinsurance, undiscounted)
At end of accident year
1 year later
2 years later
3 years later","12,739,273
13,036,420
13,049,578
13,054,418","18,649,281
18,954,759
18,865,601
18,959,505","19,688,104
20,041,806
19,759,839
-","18,984,869
19,271,706
-
-","22,140,599
-
-
-",
,,,,,,"92,202,126"
,,,,,,"1,243,164"
,,,,,,"(357,967)"
,,,,,,"98,744"
4 years later,"13,071,767",-,-,-,-,"17,349"
"Net cumulative claims liabilities -
accident years from 2020 to 2024
Add: Incurred but not Reported
Add: Liability in respect of prior years
Effect of discounting
Effect of the risk adjustment margin
for non-financial risk
Less: Cumulative payments to date","13,071,767
402
343,581
(15,141)
37,697
(13,032,022)","18,959,505
504
-
(325)
809
(18,951,772)","19,759,839
976
-
(609)
1,517
(19,745,374)","19,271,706
6,971
-
1,894
(4,715)
(19,326,676)","22,140,599
175,763
-
(8,330)
20,739
(22,105,264)","93,203,416"
,,,,,,"184,616"
,,,,,,"343,581"
,,,,,,"(22,511)"
,,,,,,"56,047"
,,,,,,"(93,161,108)"
Net LIC for the contracts originated,"406,283","8,721","16,349","(50,820)","223,508","604,041"
