Material Issue,Nature of impact,Column,Our Strategic Response
"Investment Asset
Performance","The Group’s financial performance has a significant
exposure from its investment portfolio. This has
often introduced significant volatility in earnings
attributed to fair value changes in the investments.
The main sources of fair value movements are:",,"The 2021-2025 EPIC2 #OneBritam strategy is very
deliberate on addressing the earnings volatility.
One of the foundational enablers of the strategy
is shifting the investment strategy. This is to
stabilize the investment profile and returns from
our investments.
The Group is already exiting some of the
investments that have been introducing
significant fair value movements in the results.
There is an increasing shift in investment assets
from properties and equities to fixed income
instruments.
Other efforts include aggressively pursuing
significant occupancy levels for our properties
especially the Britam Tower."
,•,"Listed equities - These introduce fair value
gains or losses in our financial results.",
,•,"Properties - The Group’s developed and
undeveloped properties continued to impact
its performances due to impairments where the
properties are not significantly occupied.",
,•,"Investment in Associate – Housing Finance
Group – The performance of this investment has
an impact on the Group’s financial results.",
"Regulatory
environment","The Group, its subsidiaries, and associates operate
in highly regulated industries. There is no doubt that
this level of regulation is necessary.
However, it does impact the cost, competitiveness,
and growth of the business.
The Group fully supports the intentions of
regulators, but the ever-evolving operating
environment places a burden on the business,
especially where the pace and level of regulatory
change cannot be easily ascertained.",,"The Group has a dynamic Legal and Compliance
function focused on proactive minimization of
Compliance risks. This is achieved by ensuring
that activities of the Group are conducted
in accordance with all regulations, codes
of conduct, and standards of good practice
applicable in all the jurisdictions it operates in.
Tracking and monitoring of legislative
developments is done to pick out potential
legislation and whenever possible get involved in
public participation phase and give our inputs.
Once a legislation or a regulation comes into
force, the Group conducts a comprehensive gap
analysis to pick areas of exposure and put in
place the required mitigations.
There is ongoing training and awareness across
the Group that targets the affected staff."
