Column,Group,Column,Column,Column,Company,Column,Column,Column
,Stage 1,Stage 2,Stage 3,,Stage 1,Stage 2,Stage 3,
,"12-month
ECL","Lifetime
ECL","Lifetime
ECL",Total,"12-month
ECL","Lifetime
ECL","Lifetime
ECL",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"At 1 January
2023","129,027","152,952","243,596","525,575","32,123","65,151","415,373","512,647"
"Net staging
transfers",-,-,-,-,,,,
"Changes in
PDs/LGDs/
EADs",543,"1,164",-,"1,707","6,966",-,"(38,426)","(31,460)"
,-,-,-,-,,,,
"Net charge to
profit or loss
in the year",543,"1,164",-,"1,707","6,966",-,"(38,426)","(31,460)"
"At 31
December
2023","129,570","154,116","243,596","527,282","39,089","65,151","376,947","481,187"
"Net staging
transfers",-,-,-,-,-,-,-,-
"Changes in
PDs/LGDs/
EADs","9,970","87,217","30,716","127,904",-,"(1,353)",-,"(1,353)"
,-,-,-,-,,,,
"Net charge to
profit or loss
in the year","9,970","87,217","30,716","127,904",-,"(1,353)",-,"(1,353)"
"Other
movements
with no profit
or loss impact:",,,,,,,,
Write-offs,-,-,"(87,750)","(87,750)",-,-,"(87,750)","(87,750)"
"At 31
December
2024","139,540","241,333","186,562","567,436","39,089","63,798","289,197","392,084"
